wo_id,sdr_id,part_number,part_name,jasc_code,maintenance_type,discovery_code,fault_code,action_code,task_type,mel_code,repair_duration_hours,aog_flag,backorder_delay_days,labor_hours,turnaround_time_hours,deferred_flag,priority,work_accomplished
WO000010,AALA202508056032,147A5660U3,INTERCOSTAL,5320,Base,V,CORRODED,CORR,Corrosion Removal,N,18,0,0,19.4,18,0,High,Removed corrosion on intercostal; treated and protected area. SDR discrepancy: AIRCRAFT IN BASE MAINTENANCE: CORROSION ON PASSENGER CABIN FLOOR STRUCTURE INTERCOSTAL FROM BS 950 TO BS 962 AT RBL 25. 
WO000011,DALA2025072105468,,WINDOW FRAME,5310,Base,V,CRACKED,RPR,Repair,N,22,1,13,25.2,334,0,High,Repaired window frame for condition: cracked; tested serviceable. SDR discrepancy: (LOG 1080752) CRACK WAS FOUND OF: 0.625IN LENGTH ON LH WINDOW FRAME RADIUS AREA. LH WINDOW FRAME WAS REPAIRED PER ER/A 6
WO000012,DALA2025072205499,,INTERCOSTAL,5320,Base,V,CORRODED,CORR,Corrosion Removal,N,18,1,10,24.2,258,0,High,Removed corrosion on intercostal; treated and protected area. SDR discrepancy: (LOG 1092249) AFT CARGO COMPARTMENT UNDER VACUUM WASTE COMPARMENT STA 867 TO 847 LBL 25 HAS CORROSION. REMOVED AND REPLA
WO000013,AALA202507215079,,GIRT BAR,2560,Line,OP,OTHER,R&R,Remove & Replace,N,2,0,11,2.6,266,0,Low,Removed and replaced girt bar; performed operational test. SDR discrepancy: AIRCRAFT WAS NOT GROUNDED: FORWARD ENTRY DOOR GIRT BAR STUCK. CHECK AND UNSTUCK FORWARD ENTRY DOOR GIRT BAR. PER AMM 52-
WO000014,DALA2025071005214,,PLATE,5320,Base,V,CORRODED,CORR,Corrosion Removal,N,18,0,13,15.7,330,0,Low,Removed corrosion on plate; treated and protected area. SDR discrepancy: (LOG 1067378) CORROSION ON RH SIDE PLATE AT FWD CARGO COMPARTMENT FROM STA 400 TO 440 AND 500A TO 500I (C1). RH SIDE PLA
WO000015,SWAA2025080694026,,NUT,5210,Line,V,OTHER,RPR,Repair,N,2,0,11,2.3,266,0,Low,Repaired nut for condition: other; tested serviceable. SDR discrepancy: L2 DOOR LINER ASSIST HANDLE NUT BROKEN<[01] REMOVED AND REPLACED ASSIST HANDLE NUT AND SECURED ASSIST HANDLE IAW B737NG 
WO000016,DALA2025071505325,,RECEIVER,5210,Line,V,OTHER,RPR,Repair,N,2,1,13,1.7,314,0,High,"Repaired receiver for condition: other; tested serviceable. SDR discrepancy: (LOG 6402398) L1 DOOR WILL NOT CLOSE / LATCH. ADJUSTED UPPER 2 RECEIVER'S 2 TEETH AND LOWER 2 RECEIVER'S 1 TOOTH, IN AN "
WO000017,DALA2025072105460,,SUPPORT,5320,Base,V,CORRODED,CORR,Corrosion Removal,N,18,0,11,21.6,282,0,Low,"Removed corrosion on support; treated and protected area. SDR discrepancy: (LOG 1090110) RT SIDE AFT CABIN FLOOR DRAIN SUPPORT HAS CORROSION ON UPPER SURFACE, STA 959 RBL 49. REMOVED AND REPLACED"
WO000018,CALA2025072206842,,INDICATION SYS,5270,Line,OP,FAILED,R&R,Remove & Replace,N,4,0,13,3.9,316,0,Low,"Removed and replaced indication sys; performed operational test. SDR discrepancy: RTO.DUE.TO.L1.DOOR.LIGHT ILLUMINATE PRESENT LEG FAULTS SHOWS MX MESSAGE 52-71111. PERFORMED FIM 52-20 TASK 801 STEP C., "
WO000019,DALA2025080405809,,BATTERY PACK,3350,Line,OP,FAILED,R&R,Remove & Replace,N,4,0,14,3.4,340,0,Low,Removed and replaced battery pack; performed operational test. SDR discrepancy: DURING SVC CHK FOUND EMERGENCY EXIT LIGHT AT ROW 22 INOPERATIVE. R & R BATTERY PACK BP1670 PER AMM 33-51. OPS CHK GOOD.
WO000020,AALA202508012053,146A750252,CHANNEL,5320,Base,V,CORRODED,CORR,Corrosion Removal,N,18,0,0,23.3,18,0,High,Removed corrosion on channel; treated and protected area. SDR discrepancy: AIRCRAFT IN BASE MAINTENANCE: CORROSION ON AFT CARGO COMPARTMENT FLOOR STRUCTURE ZEE ASSEMBLY FROM BS 727I TO BS 747 AT 
WO000021,DALA2025070805087,,FLOORBEAM,5315,Base,V,CORRODED,CORR,Corrosion Removal,N,18,0,12,16.6,306,0,Low,"Removed corrosion on floorbeam; treated and protected area. SDR discrepancy: (LOG 1064946) CORROSION ON FLOOR BEAM STA 986.5 BTW RBL 31 TO RBL 39, ON PREVIOUS REPAIR RBL 39 TO RBL 47 , AT PAX CABIN"
WO000022,ASAA2025072259891,147A750118,ANGLE,5320,Base,V,CORRODED,CORR,Corrosion Removal,N,18,0,0,19.9,18,0,High,Removed corrosion on angle; treated and protected area. SDR discrepancy: AFT CARGO R/H TRANSITION CORRODED BETWEEN STA 727D TO STA 847. GROUNDED - YES. REMOVED CORROSION FOUND TO BE OUT OF LIMI
WO000023,AALA202507143939,141A6536U20,BEAM,5210,Line,V,CRACKED,RPR,Repair,N,12,0,0,14.0,12,0,High,Repaired beam for condition: cracked; tested serviceable. SDR discrepancy: AIRCRAFT IN BASE MAINTENANCE: CRACK IN R1 DOOR HANDLE BOX ASSEMBLY BEAM. REPLACED BEAM PER AARD 51-00-05-1.
WO000024,DALA2025071405254,,LANDING,5730,Overnight,V,CORRODED,CORR,Corrosion Removal,N,8,0,11,6.8,272,0,Low,Removed corrosion on landing; treated and protected area. SDR discrepancy: (LOG 1073457) CORROSION ON ACCESS PANELS SETTLEMENT AND RING ON 534BB AND 634BB AT DRY BAY WINGS. CORROSION ON ACCESS PA
WO000025,DALA2025071405257,,PRESSURE DECK,5310,Base,V,CRACKED,RPR,Repair,N,22,0,11,29.4,286,0,Low,Repaired pressure deck for condition: cracked; tested serviceable. SDR discrepancy: (LOG 1073967) A.A.5714-01004-01: CRACK WAS FOUND OF 0.8IN OF LENGTH APPROX ON LH PRESSURE DECK WEB AT STA 663 BTW LBL 40
WO000026,CALA2025071606615,141A5505,FLOORBEAM,5315,Base,OP,CORRODED,CORR,Corrosion Removal,N,18,0,0,15.3,18,0,High,"Removed corrosion on floorbeam; treated and protected area. SDR discrepancy: MAIN CABIN BS 344, LBL 55, FLOORBEAM CORRODED ON UPPER SURFACE. ACCOMPLISHED PERMANENT REPAIR IAW REO-G25507, STAGE 4, R"
WO000027,AALA202508075543,147A82021,STOP PAD,5310,Base,OP,OTHER,RPR,Repair,N,12,0,0,14.1,12,0,High,Repaired stop pad for condition: other; tested serviceable. SDR discrepancy: AIRCRAFT IN BASE MAINTENANCE: L2 DOOR STOP PADS WORN AT AFT DOOR FRAME CUT OUT. INSTALLED ALL NEW DOOR THRESHOLD STOP PA
WO000028,AALA202508053824,,DOOR,5250,Line,OP,FAILED,R&R,Remove & Replace,N,4,0,10,4.9,244,0,Low,Removed and replaced door; performed operational test. SDR discrepancy: AIRCRAFT WAS NOT GROUNDED: LAVATORY-D IS DIFFICULT TO OPEN AND CLOSE. VERIFIED FAULT DOOR BINDING WHEN OPENING. CLEARED 
WO000029,AALA202508283740,141A1180Y23,FRAME,5311,Base,V,CORRODED,CORR,Corrosion Removal,N,18,0,0,16.1,18,0,High,Removed corrosion on frame; treated and protected area. SDR discrepancy: AIRCRAFT IN BASE MAINTENANCE: CORROSION ON FORWARD SIDE OF SUB FRAME LOCATED AT STA 336 ABOVE S23L. REPLACED FRAME PER A
WO000030,AALA202507217156,,LIFE VEST,2561,Line,V,OTHER,R&R,Remove & Replace,N,2,1,9,2.7,218,0,High,Removed and replaced life vest; performed operational test. SDR discrepancy: AIRCRAFT WAS NOT GROUNDED: LIFE VEST AT FLIGHT ATTANDENT AFT SERVICE DOOR JUMP SEAT SEAL OPENED. REMOVED AND REPLACED 4R
WO000031,AALA202507288095,147A56603,FLOOR SUPPORT,5320,Base,V,CORRODED,CORR,Corrosion Removal,N,18,0,0,18.1,18,0,High,"Removed corrosion on floor support; treated and protected area. SDR discrepancy: AIRCRAFT IN BASE MAINTENANCE: CORROSION ON PASSENGER CABIN FLOOR STRUCTURE INTERCOSTAL AT BS 948, LBL 24. REPLACED INTER"
WO000032,AALA202507289547,,LIGHT,3350,Line,OP,FAILED,R&R,Remove & Replace,N,4,0,10,3.3,244,0,Low,Removed and replaced light; performed operational test. SDR discrepancy: AIRCRAFT WAS NOT GROUNDED: ROW 16F OVERWING EXIT EMERGENCY LED LIGHT INOPERATIVE AT ROW 16F. REMOVE AND REPLACED LIGHT A
WO000033,AALA202507297184,,HYDRAULIC SYSTEM,2910,Overnight,V,OTHER,TS,Troubleshooting,N,2,1,9,2.2,218,0,High,"Troubleshot hydraulic system for reported condition: other. SDR discrepancy: AIRCRAFT WAS GROUNDED: AN EMERGENCY WAS DECLARED DUE TO: REPEAT ITEM, AFTER TAKEOFF UPON RAISING OF GEAR ENGINE NUMBER O"
WO000034,AALA202507211400,,FUEL SYS,2840,Line,V,FAILED,R&R,Remove & Replace,N,4,0,10,3.4,244,0,Low,"Removed and replaced fuel sys; performed operational test. SDR discrepancy: AIRCRAFT WAS NOT GROUNDED: IN FLIGHT, LEFT MAIN FUEL TANK CONTINUOUSLY DISPLAYING A LOWER AMOUNT. EVEN AFTER BALANCING T"
WO000035,CALA2025073007085,,FLAP,2560,Line,V,OTHER,R&R,Remove & Replace,N,2,0,13,2.0,314,0,Low,Removed and replaced flap; performed operational test. SDR discrepancy: L2 DOOR GIRT BAR FLAP HANGS LOW. FA CONCERNED IT MAY DRAG AND CATCH ON EDGE WHEN DOOR OPENED L2 GIRT BAR COVER FLAP ADJU
WO000036,SCNA20250728283,,BULKHEAD WEB,5312,Base,V,CRACKED,RPR,Repair,N,22,0,8,22.9,214,0,Low,"Repaired bulkhead web for condition: cracked; tested serviceable. SDR discrepancy: WO 88396, NR00018, 00264: EMP 10001189 IN REFERENCE TASK CARD ENG-57SCA-11508: CRACKS (3 EAS) ON VERTICAL PRESSURE DECK "
WO000037,AALA202507021406,,GIRT BAR,2560,Line,OP,OTHER,R&R,Remove & Replace,N,2,0,10,2.6,242,0,Low,Removed and replaced girt bar; performed operational test. SDR discrepancy: AIRCRAFT WAS NOT GROUNDED: L1 PASSENGER DOOR GERT BAR MOUNTS HARD TO RELEASE BAR. LUBED L1 DOOR SLIDE CLIPS AND FLOOR BR
WO000038,AALA202507225584,,LIGHT,3350,Line,OP,FAILED,R&R,Remove & Replace,N,4,0,11,3.6,268,0,Low,Removed and replaced light; performed operational test. SDR discrepancy: AIRCRAFT WAS NOT GROUNDED: CEILING OVER WING EMERGENCY LIGHT INOPERATIVE. REMOVED AND REPLACED CEILING OVERWING EMERGENC
WO000039,AALA202507220130,,HANGER ASSY,5220,Line,V,OTHER,RPR,Repair,N,2,1,11,2.4,266,0,High,Repaired hanger assy for condition: other; tested serviceable. SDR discrepancy: AIRCRAFT IN BASE MAINTENANCE: RIGHT HAND FORWARD PULL HANDLE ASSEMBLY IS BROKEN ON OVERWING EMERGENCY EXIT DOOR. REMOVED
WO000040,SWAA2025073195640,,BULB,3350,Line,OP,FAILED,R&R,Remove & Replace,N,4,1,13,4.3,316,0,High,Removed and replaced bulb; performed operational test. SDR discrepancy: LIGHT BULB IS OUT ON AED EMERGENCY EXIT LIGHT SIGN. REPLACED ONE UPPER BULB ON AED EMERGENCY EXIT LIGHT SIGN IAW AMM 33-
WO000041,AALA202507317070,4735975,FIRE DETECTOR,2612,Line,OP,OTHER,TS,Troubleshooting,N,2,1,0,2.5,2,0,High,Troubleshot fire detector for reported condition: other. SDR discrepancy: AIRCRAFT WAS GROUNDED: FORWARD CARGO FIRE LIGHT ILLUMINATED ON THE GROUND. FIRE WARNING BELL SOUNDED AND THE CARGO FIRE 
WO000042,AALA202507255446,P2070015002,FLASHLIGHT,2560,Line,OP,FAILED,R&R,Remove & Replace,N,4,0,0,4.2,4,0,High,Removed and replaced flashlight; performed operational test. SDR discrepancy: AIRCRAFT WAS NOT GROUNDED: AFT FLIGHT ATTANDENT SEAT BY L2 AFT SERVICE DOOR OUTBOARD HAS ONE EACH FLASHLIGHT INOPERATIVE
WO000043,SWAA2025070387249,,SLIDE,2565,Line,V,OTHER,R&R,Remove & Replace,N,2,0,12,1.9,290,0,Low,Removed and replaced slide; performed operational test. SDR discrepancy: L-2 DOOR SLIDE CATCHES ON DOOR SILL WHEN CLOSING. ADJUSTED L2 DOOR SLIDE PER AMM 25-66-01
WO000044,AALA202507118452,143A524035SD,FLOORBEAM,5315,Base,V,CRACKED,RPR,Repair,N,22,0,0,30.7,22,0,High,"Repaired floorbeam for condition: cracked; tested serviceable. SDR discrepancy: AIRCRAFT IN BASE MAINTENANCE: CRACK IN PASSENGER CABIN FLOOR STRUCTURE BREAK ASSEMBLY PANEL AT BS 540, LBL 1. REPLACED B"
WO000045,AALA202507118503,143A5240U34,FLOOR SUPPORT,5320,Base,V,CRACKED,RPR,Repair,N,22,0,0,23.6,22,0,High,"Repaired floor support for condition: cracked; tested serviceable. SDR discrepancy: AIRCRAFT IN BASE MAINTENANCE: CRACK IN PASSENGER CABIN FLOOR SUPPORT AT BS 540, RBL 1. REPLACED SUPPORT PER AARD 51-00-0"
WO000046,CALA2025071106448,,GIRT BAR,2560,Line,V,LOOSE,ADJ,Adjustment,N,2,0,12,2.5,290,0,Low,"Adjusted girt bar to correct loose. SDR discrepancy: L1 DOOR WITH A THE LEFT SIDE OF THE SCAPE SLIDE HOLDING BAR LOOSE. ADJUSTED AS REQUIRED, OK FOR SERVICE."
WO000047,AALA202507138414,D71702001,BATTERY PACK,3350,Line,OP,FAILED,R&R,Remove & Replace,N,4,0,0,5.1,4,0,High,Removed and replaced battery pack; performed operational test. SDR discrepancy: AIRCRAFT IN BASE MAINTENANCE: MULTIPLE EMERGENCY LIGHTS ARE OUT. SUSPECT BATTERY POWER SUPPLYTO BE BAD. REMOVED AND REPL
WO000048,CALA2025071106453,,RETAINER,2560,Line,V,LOOSE,ADJ,Adjustment,N,2,0,13,2.7,314,0,Low,Adjusted retainer to correct loose. SDR discrepancy: R1 DOOR GIRT BAR STOW HOOK IS LOOSE ALLOWING BAR TO EASILY SLIP OUT WHEN OPERATING DOOR ADJUSTED R1 GIRT BAR RETAINER HO
WO000049,UIEA2025071100909,,SKIN,5512,Line,V,CRACKED,RPR,Repair,N,12,0,9,15.7,228,0,Low,"Repaired skin for condition: cracked; tested serviceable. SDR discrepancy: R/H HORIZONTAL STABILIZER LOWER SKIN, A CRACK NOTED ON STAB HORIZ AT STA 138.7, 9.02"" FROM AFT SPAR.(ACCOMPLISHED PERMAN"
WO000050,DALA2025071105236,,FRAME,5311,Base,V,OTHER,RPR,Repair,N,12,1,11,11.7,276,0,High,"Repaired frame for condition: other; tested serviceable. SDR discrepancy: (LOG 1074800) ACCOMPLISH LEFT HAND STA 727 FRAME INNER CHORD, 737 REPAIR; RII; SECTION 02 IAW 5311-01251-02A. INSTALLED "
WO000051,DALA2025071105239,,BATTERY PACK,3350,Line,OP,FAILED,R&R,Remove & Replace,N,2,0,11,2.4,266,0,Low,Removed and replaced battery pack; performed operational test. SDR discrepancy: (LOG 7440154) DURING SERVICE CHECK FOUND EMERGENCY LIGHTS ON SEATS ROWS 24 AND BACK WERE INOP. REMOVED AND REPLACED BATT
WO000052,SWAA2025071791336,,HANDLE,5240,Line,V,LOOSE,ADJ,Adjustment,N,2,0,10,1.7,242,0,Low,Adjusted handle to correct loose. SDR discrepancy: FWD SERVICE DOOR R1 ASSIST HANDLE LOOSE. SECURED FWD SERVICE DOOR R1 ASSIST HANDLE REF AMM 20-50-11.
WO000053,AALA202507144784,,HYDRAULIC LINE,3241,Overnight,OP,LEAKING,RPR,Repair,N,3,0,8,3.8,195,0,Low,Repaired hydraulic line for condition: leaking; tested serviceable. SDR discrepancy: AIRCRAFT WAS GROUNDED: AN EMERGENCY WAS DECLARED DUE TO: NUMBER 2 MLG TIRE BLEW AS WELL DAMAGING HYDRAULIC LINE WHICH CA
WO000054,AALA202507145778,31674,TIRE,3244,Line,OP,LEAKING,RPR,Repair,N,3,1,0,3.8,3,0,High,Repaired tire for condition: leaking; tested serviceable. SDR discrepancy: AIRCRAFT WAS GROUNDED: AN EMERGENCY WAS DECLARED DUE TO: NUMBER 2 MLG TIRE BLEW AS WELL DAMAGING HYDRAULIC LINE WHICH CA
WO000055,CALA2025071406519,,DOOR,5220,Line,OP,OTHER,RPR,Repair,N,2,0,11,2.4,266,0,Low,Repaired door for condition: other; tested serviceable. SDR discrepancy: CREW REPORTED A LOW SPEED REJECTED TAKEOFF AT 50KTS FOR A AFT L2 DOOR INDICATION FLICKERING. CREW CALLED AND STATED THAT
WO000056,SWAA2025071087170,,FLOOR PANEL,5321,Base,V,OTHER,RPR,Repair,N,12,0,11,16.3,276,0,Low,Repaired floor panel for condition: other; tested serviceable. SDR discrepancy: PASSENGER COMPARTMENT FLOOR PANEL #231XF HAS STRIPPED FIBERGLASS.<[01] OK TO CLOSE;[02] REMOVED AND REPLACED 231XF AS PE
WO000057,SWAA2025071691154,,LIGHT,3350,Line,V,FAILED,R&R,Remove & Replace,N,4,1,9,3.3,220,0,High,Removed and replaced light; performed operational test. SDR discrepancy: FLOOR TRACK PHOTO LUMINESCENT FLOOR PATH LIGHTING REPORTED INOPERATIVE BY FLIGHT ATTENDANTS. FIRST LIGHT RIGHT SIDE OF A
WO000058,CALA2025071806700,141A83166,STRAP,5320,Base,V,CORRODED,CORR,Corrosion Removal,N,22,0,0,20.6,22,0,High,Removed corrosion on strap; treated and protected area. SDR discrepancy: MAIN CABIN FWD WET AREA CRACKED AT RT INNER CHORD STRAP BS 294.5+3. REMOVED AND REPLACED MAIN CABIN FWD WET AREA RH INNE
WO000059,CALA2025081407754,147A3110,SKIN,5330,Base,V,CORRODED,CORR,Corrosion Removal,N,18,0,0,20.8,18,0,High,"Removed corrosion on skin; treated and protected area. SDR discrepancy: AFT PIT LT SIDE, FUSELAGE SKIN CORRODED AROUND THE LAVATORY EXHAUST VENT ATTACHMENT BETWEEN BS 907 AND BS 927 AND BETWEE"
WO000060,SWAA2025072494390,,SEAT,2520,Line,V,OTHER,R&R,Remove & Replace,N,2,0,14,1.9,338,0,Low,Removed and replaced seat; performed operational test. SDR discrepancy: EMERGENCY EXIT ROW PASSENGER SEAT BACK NOT FULLY LOCKED OUT AT SEAT 13D. RELOCKED SEAT BACK FULLY AT SEAT 13D PER AMM 25
WO000061,SWAA2025072494406,,LENS,3350,Line,V,OTHER,R&R,Remove & Replace,N,2,0,9,2.7,218,0,Low,Removed and replaced lens; performed operational test. SDR discrepancy: OVERHEAD IN AISLE NEAR ROW 2; LED LIGHT COVER IS MISSING. INSTALLED MISSING LENS COVER PER AMM 33-51-01.
WO000062,AALA202507241307,,DOOR,5250,Line,V,FAILED,R&R,Remove & Replace,N,4,0,13,4.1,316,0,Low,"Removed and replaced door; performed operational test. SDR discrepancy: AIRCRAFT WAS NOT GROUNDED: LAVATORY-D DOOR INOPERATIVE, HARD TO OPEN. (OPEN)."
WO000063,CALA2025072506904,352A11001,FITTING,4910,Overnight,V,CORRODED,CORR,Corrosion Removal,N,8,0,0,7.7,8,0,Medium,Removed corrosion on fitting; treated and protected area. SDR discrepancy: APU COMPARTMENT FITTING LOCATED AT LEFT AND UPPER SIDE SHOWS DAMAGE AT THE EDGE.ACCOMPLISHED REPAIR AT LEFT-HAND APU SUP
WO000064,SWAA2025082794508,,SUPPORT BRACKET,5320,Base,V,CRACKED,RPR,Repair,N,22,0,13,28.6,334,0,Low,Repaired support bracket for condition: cracked; tested serviceable. SDR discrepancy: CRACK SUPPORT BRACKET ON PNEUMATIC DUCT BS 540 AND RBL 6 AIR CONDITIONING BAY. REPLACED THE SUPPORT BRACKET ON PNEUMATIC
WO000065,AALA202508255277,,FLOORBEAM,5315,Base,V,CORRODED,CORR,Corrosion Removal,N,18,0,11,18.7,282,0,Low,"Removed corrosion on floorbeam; treated and protected area. SDR discrepancy: AIRCRAFT IN BASE MAINTENANCE: CORROSION ON PASSENGER CABIN FLOORBEAM UPPER CHORD (T-CAP) LOCATED AT BS 947.5, FROM LBL 2"
WO000066,AALA202507246122,,FLASHLIGHT,2560,Line,OP,OTHER,R&R,Remove & Replace,N,2,0,13,2.4,314,0,Low,Removed and replaced flashlight; performed operational test. SDR discrepancy: AIRCRAFT WAS NOT GROUNDED: FORWARD OUTBOARD FLIGHT ATTENDANTS FLASHLIGHT DID NOT TEST. REPLACED FLASHLIGHT. PER AMM 25-6
WO000067,DALA2025072505605,,DOOR,5280,Line,V,CRACKED,RPR,Repair,N,12,1,9,14.6,228,0,High,Repaired door for condition: cracked; tested serviceable. SDR discrepancy: (LOG 1101514) L/H MLG MIDDLE DOOR ASSEMBLY HAS CRACK IN RIB NEAR LOWER L/E MOUNT. REPAIRED L/H MLG MIDDLE DOOR ASSEMBLY 
WO000068,CALA2025072806953,147A85407,DOOR FRAME,5310,Base,V,CORRODED,CORR,Corrosion Removal,N,18,0,0,16.6,18,0,High,"Removed corrosion on door frame; treated and protected area. SDR discrepancy: FOUND TWO AREA OF INTER-GRANULAR CORROSION, NEXT TOO THE R1 DOOR(INNER-CHORD) REF AAR N/R 9983208 COMPLETED INSTALLATION"
WO000069,CALA2025070206155,285A1010112,COMPUTER,3418,Overnight,OP,FAILED,R&R,Remove & Replace,N,4,0,0,4.0,4,0,High,Removed and replaced computer; performed operational test. SDR discrepancy: YAW DAMPENER SWITCH TRIPPED OFF IN FLIGHT ABLE 2 RESET PILOTS STATED YAW DAMPENER SWITCH TRIPPED OFF ONCE DURING THEIR F
WO000070,CALA2025072907037,186A200041,SKIN,5512,Line,OP,CRACKED,RPR,Repair,N,12,0,0,14.2,12,0,Medium,"Repaired skin for condition: cracked; tested serviceable. SDR discrepancy: C-SCAN INSPECTION REVEALED CRACK AT BOTTOM SKIN R/H HORIZ.STAB. RIB STA. 157.10 APPROX. 8"" FWD OF AFT SPAR. RT HORIZONTA"
WO000071,CALA2025072907039,111A13222,ANGLE,5312,Base,V,CRACKED,RPR,Repair,N,22,1,0,21.2,22,0,High,Repaired angle for condition: cracked; tested serviceable. SDR discrepancy: WHEEL WELL VAPOR BARRIER UPPER ANGLE CRACK AT RBL 5. ACCOMPLISHED REPAIR OF RT VAPOR BARRIER UPPER ANGLE BS 663 RBL 3 TO
WO000072,DALA2025072905684,,SERVICE DOOR,5246,Line,V,OTHER,RPR,Repair,N,2,0,10,2.7,242,0,Low,Repaired service door for condition: other; tested serviceable. SDR discrepancy: (LOG 7462944) EXTERIOR LAV PANEL DOOR MISSING. TOILET SERVICE DOOR WAS INSTALLED UNDER AMDS 5249-4001.
WO000073,AALA202507298377,,CONNECTOR,3397,Line,OP,LOOSE,ADJ,Adjustment,N,4,0,14,4.9,340,0,Low,"Adjusted connector to correct loose. SDR discrepancy: AIRCRAFT IN BASE MAINTENANCE: ROW 3AB EMERGENCY LIGHT INOPERATIVE. TIGHTENED LOOSE CONNECTION UNDER SEAT CUSHION, PER B7"
WO000074,AALA202507293746,,BRACKET,2560,Line,OP,OTHER,R&R,Remove & Replace,N,2,0,9,2.4,218,0,Low,Removed and replaced bracket; performed operational test. SDR discrepancy: AIRCRAFT WAS NOT GROUNDED: FLIGHT ATTENDANTS REPORT THAT FORWARD SERVICE DOOR GIRT BAR IS DIFFICULT TO CLIP INTO AND REM
WO000075,CALA2025073107134,116A4411U2,SKIN,5730,Line,V,OTHER,TS,Troubleshooting,N,2,1,0,1.8,2,0,High,Troubleshot skin for reported condition: other. SDR discrepancy: RIGHT WING FIXED L/E PANEL 611A WORN. REMOVED AND INSTALLED NEW PANEL 611A IAW SRM 51-40-02-0G-0 AND DWG 116A4008.
WO000076,AALA202507315807,1L46003859GT,DOOR,5250,Line,OP,OTHER,RPR,Repair,N,2,1,0,1.7,2,0,High,Repaired door for condition: other; tested serviceable. SDR discrepancy: AIRCRAFT WAS NOT GROUNDED: LAVATORY DOOR-D DIFFICULT TO OPEN AND CLOSE. REMOVED AND REPLACED LAVATORY-D PER CMM 25-40-64
