OperatorControlNumber,DifficultyDate,SubmissionDate,OperatorDesignator,SubmitterDesignator,SubmitterTypeCode,ReceivingRegionCode,ReceivingDistrictOffice,SDRType,JASCCode,NatureOfConditionA,NatureOfConditionB,NatureOfConditionC,PrecautionaryProcedureA,PrecautionaryProcedureB,PrecautionaryProcedureC,PrecautionaryProcedureD,StageOfOperationCode,HowDiscoveredCode,RegistryNNumber,AircraftMake,AircraftModel,AircraftSerialNumber,AircraftTotalTime,AircraftTotalCycles,EngineMake,EngineModel,EngineSerialNumber,EngineTotalTime,EngineTotalCycles,PropellerMake,PropellerModel,PropellerSerialNumber,PropellerTotalTime,PropellerTotalCycles,PartMake,PartName,PartNumber,PartSerialNumber,PartCondition,PartLocation,PartTotalTime,PartTotalCycles,PartTimeSince,PartSinceCode,ComponentMake,ComponentModel,ComponentName,ComponentPartNumber,ComponentSerialNumber,ComponentLocation,ComponentTotalTime,ComponentTotalCycles,ComponentTimeSince,ComponentSinceCode,FuselageStationFrom,FuselageStationTo,StringerFrom,StringerFromSide,StringerTo,StringerToSide,WingStationFrom,WingStationFromSide,WingStationTo,WingStationToSide,ButtLineFrom,ButtLineFromSide,ButtlineTo,ButtlineToSide,WaterLineFrom,WaterLineTo,CrackLength,NumberOfCracks,CorrosionLevel,StructuralOther,Discrepancy
SWAA2025033105456,3/15/2025 0:00:00,3/31/2025 15:38:32,SWAA,SWAA,A,SW,29,A,3350,O,,,K,,,,IN,V,1803U,BOEING,7378,60226,7550.0,3895.0,,,,,,,,,,,,POWER SUPPLY,,,INOPERATIVE,ZONE 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AT THE AFT SERVICE DOOR; THE EXIT LIGHT BELOW THE EXIT SIGN HAS AN INOP BULBS<[01] FOUND THE M1672 POWER SUPPLY AND BATTERY TO BE AT FAULT; REMOVED AND REPLACED THE M1672 EMERGENCY LIGHT POWER SUPPLY AND BATTERY IAW AMM 33-51-06; OPS CHECK GOOD;[02] VERIFIED C/A #1.
AALA202504037405,3/11/2025 0:00:00,4/3/2025 17:36:53,AALA,AALA,A,SW,21,A,5320,O,,,K,,,,IN,V,923NN,BOEING,737823,31167,35203.0,15130.0,,,,,,,,,,,BOEING,TRANSITION PANEL,143A7501187,,CORRODED,ZONE 100,,,,,,,,,,,,,,,500C,500D,,,,,,,,,26,L,,,,,,,2.0,,AIRCRAFT IN BASE MAINTENANCE: CORROSION ON FORWARD CARGO COMPARTMENT TRANSITION PANEL FROM STA 500C TO STA 500D AT LBL 26. REPLACED TRANSITION PANEL PER AARD 51-00-05-1.
DALA2025032402168,3/21/2025 0:00:00,3/24/2025 12:10:18,DALA,DALA,A,SO,27,A,5300,O,,,K,,,,IN,V,3772H,BOEING,737832,30823,46683.0,17565.0,,,,,,,,,,,,NOT REPORTED,,,OUT OF ADJUST,NOT REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(LOG 0870275) GAP MEASURED ON WORK CARD 5311-01251-01B (FORECAST CARD 38-0553-8-0152) PAGE 9 STEP 11 MEASURES GREATER THAN 0.006. REPAIRED PER WORK CARD 5311-01251-02B (FORECAST CARD 38-0553-8-0156).
CALA2025040203451,3/29/2025 0:00:00,4/2/2025 10:00:07,CALA,CALA,A,GL,33,A,5330,Z,,,O,,,,IN,V,24224,BOEING,737824,28933,79636.0,29244.0,,,,,,,,,,,BOEING,SKIN PANEL,141A35219,,DAMAGED,ZONE 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LOWER FWD FUSELAGE LH SIDE EXTERNAL SKIN HAS DAMAGE JUST OUTBD OF FWD E&E FWD FRAME CUTOUT 31 INCHES AFT OF 178 BULKHEAD MARKED WITH TAPEDAMAGE MEASURES OUT A TOTAL DIAMETER OF 1.5 INCHES AND HAS A DEPTH OF .032"". CENTER OF DAMAGE IS LOCATED 8"" BELOW FACTORY LAP JOINT EDGE, 2.5"" AFT OF STA 203.8 AND 8.5"" UP FROM E&E BAY DOOR CUTOUT. PER AVO 14374 STEP 2 NO RIVETS NEEDED TO BE REMOVED FOR DAMAGE AREA REMOVAL. HOWEVER I ACCOMPLISHED STEPS 1 3 AND 4 OF AVO. CALLED INSPECTION TO ACCOMPLISH HFEC ON CUT OUT AREA PER STEP 5 PER STEP 5 OF AVO 14374 ACCOMPLISHED HFEC OF CUTOUT AREA PER PART 6 51-00-00 PROCEDURE 23. NO CRACKS NOTED. ACCOMPLISHED INSURANCE CUT AS STATED IN STEP 5 OF AVO 14374. NO RIVETS WERE REQUIRED TO BE REMOVED FOR DAMAGE REMOVAL AS MENTIONED IN STEPS 6 AND 7.. COMPLETED STEP 8 OF AVO. FINAL TRIM ACCOMPLISHED AND PHOTOS WITH MEASUREMENTS REPORTED TO ESCORD INFORMATION ADDED FOR THE SDR/SFR PER ECRA 5310-08545, ACCOMPLISH INITIAL AND REPETITIVE INSPECTIONS PER PART 2 ON OR BEFORE 24 MONTHS FROM 03/29/2025. INSP VERIFIED EC/RA 5310-08545 STEP 13 FOR REPETITIVE INSP AS PER PART 2 TO BE ACCOMPLISHED ON OR BEFORE 24 MONTHS FROM 03/29/2025 REF LOG #4331447 FOR INSP REQUIREMENTS ONCE ENGINEERING HAS FINAL INSP. PROCEDURE IAW ECRA 5310-08545,ACCOMPLISH INITIAL AND REPETITIVE INSPECTIONS PER PART 2 ON OR BEFORE 24 MONTHCONTROL #:"
AALA202503100463,3/8/2025 0:00:00,3/10/2025 16:16:46,AALA,AALA,A,SW,21,A,2560,O,,,K,,,,IN,V,318SF,BOEING,7378,44473,12855.0,4780.0,,,,,,,,,,,,MECHANISM,,,LACK OF LUBE,GIRT BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS NOT GROUNDED: AFTER GALLEY SERVICE DOOR AIRCRAFT RIGHT GIRT BAR HARD TO REMOVE FROM BRACKET. READJUSTED AND LUBRICATED CLAMPS FOR RIGHT HAND AFT GALLEY SERVICE DOOR GIRT BAR. PER AMM 25-66-00. OPERTIONAL CHECK GOOD AT THIS TIME.
ASAA2025030556436,3/5/2025 0:00:00,3/10/2025 18:25:43,ASAA,ASAA,A,NM,2,A,3350,L,,,K,,,,IN,C,568AS,BOEING,737890,35183,62932.0,19050.0,,,,,,,,,,,,POWER SUPPLY,D71702001,,NO TEST,ZONE 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMERGENCY LIGHT SYSTEM BATTERY PACK M2335 FAILED CAPACITY CHECK. GROUNDED - YES. EMERGENCY LIGHT SYSTEM BATTERY PACK ""M2335"" WAS REPLACED IAW BOEING B737-800 AMM 33-51-06-960-806, TEST OK."
DALA2025031001833,3/5/2025 0:00:00,3/10/2025 14:47:06,DALA,DALA,A,SO,27,A,5320,O,,,K,,,,IN,V,3742C,BOEING,737832,30835,75408.0,30122.0,,,,,,,,,,,BOEING,WEB,,,CRACKED,ZONE 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(LOG 0842492) CRACK VERTICAL WEB - INTERCOSTAL BTW BS 807 AND BS 827 AT LEVEL OF STR 25R AFT CARGO COMPARTMENT. REPLACED VERTICAL WEB INTERCOSTAL BTW BS 807 AND BS 827 AT LEVEL OF STR 25R AFT CARGO COMPARTMENT AS PER B737-800 SRM 51-40-02 AND SRM 51-10-02 AND DWG 146A8120.
AALA202504073887,3/22/2025 0:00:00,4/7/2025 9:49:13,AALA,AALA,A,SW,21,A,5315,O,,,K,,,,IN,V,967AN,BOEING,737823,29545,67811.0,28696.0,,,,,,,,,,,BOEING,FLOORBEAM,,,CORRODED,ZONE 200,,,,,,,,,,,,,,,947,,,,,,,,,,50,R,,,,,,,2.0,,"AIRCRAFT IN BASE MAINTENANCE: CORROSION ON PASSENGER CABIN FLOOR BEAM UPPER CHORD (T-CAP) ANGLE AT STA 947, RBL 50. REPAIRED CHORD PER SRM 53-70-51-2R-5."
AALA202504070058,3/22/2025 0:00:00,4/7/2025 9:49:14,AALA,AALA,A,SW,21,A,5315,O,,,K,,,,IN,V,967AN,BOEING,737823,29545,67811.0,28696.0,,,,,,,,,,,BOEING,FLOORBEAM,,,CORRODED,ZONE 200,,,,,,,,,,,,,,,947,,26,L,,,,,,,,,,,,,,,2.0,,"AIRCRAFT IN BASE MAINTENANCE: CORROSION ON PASSENGER CABIN FLOOR BEAM UPPER CHORD (T-CAP) ANGLE AT STA 947, LBL 26. REPAIRED CHORD PER SRM 53-70-51-2R-5."
AALA202503187448,3/17/2025 0:00:00,3/18/2025 12:49:31,AALA,AALA,A,SW,21,A,5250,O,,,O,,,,NR,9,324RN,BOEING,7378,44454,14427.0,5415.0,,,,,,,,,,,,HANDLE,,,STICKING,ZONE 800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS NOT GROUNDED: FORWARD LAVATORY DOOR HANDLE STICKS. HARD TO UNLATCH. READJUST FORWARD LAVATORY DOOR HANDLE. OPERTIONAL CHECK GOOD. PER AMM 52-51-00.
AALA202503188640,3/17/2025 0:00:00,3/18/2025 12:52:39,AALA,AALA,A,SW,21,A,3350,L,,,K,,,,IN,C,971AN,BOEING,737823,29547,64569.0,27610.0,,,,,,,,,,,,LAMP,,,INOPERATIVE,ZONE 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS GROUNDED: RIGHT HAND FORWARD OVERWING EMERGENCY LIGHT NOT WORKING. REMOVE AND REPLACED RIGHT HAND FORWARD OVERWING EMERGENCY LAMP. PER AMM 33-51-04.
DALA2025032402178,3/22/2025 0:00:00,3/24/2025 12:10:20,DALA,DALA,A,SO,27,A,5210,O,,,K,,,,IN,V,3765,BOEING,737832,30819,75514.0,28512.0,,,,,,,,,,,,HANDLE,,,DETACHED,ZONE 800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(LOG 6441568) DOOR HANDLE AT DOOR 1L CAME OFF. RESECURED HANDLE AS REQUIRED.
DALA2025032402181,3/21/2025 0:00:00,3/24/2025 12:10:20,DALA,DALA,A,SO,27,A,5100,O,,,O,,,,NR,9,375DA,BOEING,737832,29623,79493.0,32695.0,,,,,,,,,,,,FRAME,,,NONE,ZONE 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(LOG 0870016) THIS WORK CARD INSTALLS A NEW SHIM BETWEEN THE LEFT SIDE OF STA 727 FRAME INNER CHORD AND S-18A WEB. AD 2023-06-15 REQUIRES INSPECTING THE STA 727 FRAME INNER CHORD AT STRINGERS S-18A FOR EXISTING REPAIRS, INSPECTING THE AREA FOR CRACKING AND PERFORMING APPLICABLE ON-CONDITION ACTIONS PER BOEING SERVICE BULLETIN 737-53A1402. COMPLIED WITH TASK CARD 5311-01251-02A FORECAST NUMBER 38-0553-8-0154 AD RELATED/RII ON LEFT HAND STA 727 FRAME INNER CHORD, 737 REPAIR."
CALA2025032403121,3/21/2025 0:00:00,3/24/2025 14:53:14,CALA,CALA,A,GL,33,A,2560,O,,,K,,,,IN,V,77537,BOEING,737824,62767,27156.0,10006.0,,,,,,,,,,,,BRACKET,,,OUT OF ADJUST,ZONE 800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRIT BAR BRACKET NOT SUPPORTING THE GRIT BAR ON DOOR 1L ADJUSTED 1LL DOOR GIRT BAR RETAINER J-HOOK REF AMM 25-66-01. GIRT BARS FITS PROPERLY IN BRACKET. A/C OK TO CONTINUE SERVICE.
SWAA2025041404184,3/11/2025 0:00:00,4/14/2025 15:45:08,SWAA,SWAA,A,SW,29,A,5720,O,,,K,,,,IN,V,8683D,BOEING,7378H4,36738,30193.0,14942.0,,,,,,,,,,,BOEING,STIFFENER,,,CRACKED,ZONE 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R WING FIXED UPPER TRAILING EDGE PANEL SUPPORT STIFFENER AT WBL 198.6 HAS CRACK.(MARKED)<[01] REMOVED CRACKED SUPPORT STIFFENER PER SRM 51-40-02.;[02] VERIFIED WORK PERFORMED ON C/A #1;[03] LOCATED;DRILLED AND DEBURRED THE NEW SUPPORT ANGLE PER SRM 51-40-05.;[04] 02 - INSPECTED LOCATED;DRILLED AND DEBURRED THE NEW SUPPORT ANGLE PER SRM 51-40-05;[05] REMOVED AND REPLACED PER SRM 51-40-02.
2025F00082,3/25/2025 0:00:00,3/27/2025 15:26:28,,,W,SW,99,G,7261,K,,,A,,,,CR,O,XAMAK,BOEING,7378,43705,18813.0,7037.0,CFMINT,LEAP1B28,60A497,12436.0,4418.0,,,,,,,O-RING,M834851121,,LEAKING,ENGINE OIL,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,ENG 2 OIL LOW LEVEL
AALA202503038217,3/1/2025 0:00:00,3/3/2025 8:50:57,AALA,AALA,A,SW,21,A,3350,L,,,K,,,,IN,C,892NN,BOEING,737823,31145,38220.0,16442.0,,,,,,,,,,,,BULB,,,BURNED OUT,ZONE 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS NOT GROUNDED: EMERGENCY EXIT LIGHTS NOT ARMED LIGHT HAS ONE BULB THAT NEEDS TO BE RE-LAMPED. REPLACED BULB AND ACCOMPLISHED SATISFACTORY OPERATIONAL CHECK PER AMM 33-18-00.
AALA202503037186,3/2/2025 0:00:00,3/3/2025 9:40:58,AALA,AALA,A,SW,21,A,5330,O,,,K,,,,IN,V,824NN,BOEING,737823,30916,43762.0,18506.0,,,,,,,,,,,BOEING,SKIN,,,CORRODED,ZONE 100,,,,,,,,,,,,,,,847,,23,L,25.0,L,,,,,,,,,,,,,2.0,,"AIRCRAFT IN BASE MAINTENANCE: CORROSION ON FUSELAGE SKIN AT LAVATORY SERVICE PANEL LOWER EDGE, AT STA 847 FROM S23L TO S25L. ACCOMPLISHED REPAIR PER EA 362278."
SWAA2025032407519,3/20/2025 0:00:00,3/24/2025 15:48:55,SWAA,SWAA,A,SW,29,A,2550,O,,,K,,,,IN,V,8323C,BOEING,7378H4,37005,40337.0,19032.0,,,,,,,,,,,BOEING,PANEL,,,CRACKED,ZONE 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFT CARGO COMPARTMENT PANEL 141DW CRACKED AT EDGE <[01]. REMOVED AND FABRICATED NEW PANEL 141 DW IAW AMM 25-52-01; [02] REMOVED AND FABRICATED NEW PANEL 141 DW IAW AMM 25-52-01; [03] INSTALLED NEW PANEL PER AMM 25-52-01.
AALA202503289112,3/9/2025 0:00:00,3/28/2025 15:17:11,AALA,AALA,A,SW,21,A,5520,O,,,K,,,,IN,V,829NN,BOEING,737823,33210,44964.0,18882.0,,,,,,,,,,,,BUSHING,,,CORRODED,ZONE 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT IN BASE MAINTENANCE: RIGHT ELEVATOR TAB CONTROL MECHANISM SPRINGS SUPPORT BUSHINGS 2EA (AALA202503287165), (AALA202503289112) HAVE CORROSION. REMOVED AND REPLACED BUSHINGS ON RIGHT HAND ELEVATOR TAB MECHANISM. PER B737-NG AMM 27-31-34 PERFORMED SATISFACTORY ELEVATOR AND ELEVATOR TRIN CONTROL SYSTEM OPERATION, PER B737NG AM 27-31-00-710-801. PERFORMED SATISFACTORY ELEVATOR TAB CONTROL SYSTEM OPERATIONAL TEST, PER B737-NG AMM 27-31-00-700-815."
DALA2025040102411,3/30/2025 0:00:00,4/1/2025 11:55:34,DALA,DALA,A,SO,27,A,5730,O,,,K,,,,IN,V,3749D,BOEING,737832,30490,76305.0,29121.0,,,,,,,,,,,BOEING,ACCESS PANEL,,,CORRODED,ZONE 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,"(LOG 0885898) CORROSION AROUND RT OUTBD WING FUEL TANK ACCESS HOLE CUTOUT BETWEEN RIB 14 AND RIB 15. REPAIRED AREA ORIG MAT .200"" MAT REMOVED .011"" MAT REMAINING .189"" IAW B737 SRM 57-20-01-2R-1."
DALA2025040102412,3/30/2025 0:00:00,4/1/2025 11:55:34,DALA,DALA,A,SO,27,A,5730,O,,,K,,,,IN,V,3749D,BOEING,737832,30490,76305.0,29121.0,,,,,,,,,,,BOEING,ACCESS PANEL,,,CORRODED,ZONE 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,"(LOG 0885910) CORROSION AROUND RT OUTBD WING FUEL TANK ACCESS HOLE CUTOUT BETWEEN RIB 12 AND RIB 13. REPAIRED AREA ORIG MAT .200"" MAT REMOVED .003"" MAT REMAINING .197"" IAW B737 SRM 57-20-01-2R-1."
UIEA2025022700170,3/4/2025 0:00:00,3/7/2025 14:28:54,UIEA,UIEA,A,EA,15,A,5320,O,,,K,,,,IN,V,5147A,BOEING,73783N,32882,59965.0,32325.0,,,,,,,,,,,BOEING,FLOOR SUPPORT,,,CORRODED,ZONE 100,,,,,,,,,,,,,,,757,847,,,,,,,,,LBL 25,L,,,,,,,,,"LOWER FUSELAGE AFT CARGO COMPARTMENT FLOOR STRUCTURE FROM BS 757+4 TO BS 847 AT LBL 25,SIDE PLATE WITH CORROSION. PERFORMED PERMANENT REPAIR AT SIDE PLATE FROM BS 727 TO BS 787 AT LBL 25 (SPLICE LOCATED BETWEEN BS 727J+2 INCH AND BS 727J+12 INCH AND BETWEEN BS 777 AND BS 787) IAW SRM 53-00-53-2R-6 REPAIR 6 FIG 203 (AFT CARGO COMPARTMENT). NO FURTHER DEFECTS NOTED."
SWAA2025031003169,3/7/2025 0:00:00,3/10/2025 15:40:19,SWAA,SWAA,A,SW,29,A,5310,O,,,K,,,,IN,9,8901Q,BOEING,7378,68118,5033.0,2760.0,,,,,,,,,,,BOEING,PANEL,,,CRACKED,ZONE 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R1 DOOR FWD SURROUND PANEL IS CRACKED AT OUTLET CUTOUT<[01] REPAIRED CRACK AT OUTLET CUTOUT ON R1 DOOR FWD SURROUND PANEL IAW CMM 25-00-66 PAGES 602-603 REPAIR 1-1 SECTION 3 AND PAGE 603 REPAIR 2-1 SECTION 4.;[02] VERIFIED CORRECTIVE ACTION STEP 1.
SWAA2025031304864,3/13/2025 0:00:00,3/13/2025 17:00:15,SWAA,SWAA,A,SW,29,A,2560,O,,,K,,,,IN,V,8526W,BOEING,7378H4,36972,26619.0,13315.0,,,,,,,,,,,,GIRT BAR,,,OUT OF ADJUST,ZONE 800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFT ENTRY DOOR SLIDE GIRT REQUIRES ADJUSTMENT<[01] ADJUSTED GERT BAR REF AMM 25-66-01
CALA2025031702858,3/15/2025 0:00:00,3/17/2025 9:06:57,CALA,CALA,A,GL,33,A,5320,O,,,K,,,,IN,V,12238,BOEING,737824,28804,78270.0,28919.0,,,,,,,,,,,BOEING,FLOOR SUPPORT,,,CORRODED,ZONE 200,,,,,,,,,,,,,,,,,,,,,,,,,5,L,5,L,,,,,2.0,,"(SUPPORT TASK) FLOOR SUPPORT BETWEEN STA 328 TO 344 LBL 5 HAS CORROSION ON UPPER SURFACE FWD SIDE. REMOVED AND REPLACED NEW FLOOR SUPPORT/PANEL BREAK IAW B737-800 SRM 51-40-02-0G-0 AND BAC DWG 1415400 REV:- AND 141A5410 REV:A, EVALUATED CORROSION AREAS, ORIGINAL MATERIAL 0.080"", REMAINING MATERIAL 0.069"", REMOVED MATERIAL 0.011""; OUT OF LIMITS IAW B737-800 SRM 53-10-51-1A-1 SECTION 41 ALLOWABLE DAMAGE SHEET 1 FIG 105 DETAIL C."
DALA2025032002122,3/20/2025 0:00:00,3/20/2025 14:25:48,DALA,DALA,A,SO,27,A,5512,O,,,K,,,,IN,V,3748Y,BOEING,737832,30489,76400.0,29170.0,,,,,,,,,,,BOEING,SKIN,,,CRACKED,ZONE 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(LOG 0867151) CRACK ON LOWER SURFACE SKIN STAB STA 129 AT RH HORIZONTAL STABILIZER. LOWER SURFACE SKIN STAB STA 129 AT RH HORIZONTAL STABILIZER WAS REPAIRED PER B737-800 SRM 55-10-01-2R REPAIR 11.
